text,label,hate_words
"ගොන් බල්ලා stupid",1,"ගොන්,බල්ලා,stupid"
"හරිම ලස්සනයි beautiful",0,""
"මූ පිස්සා crazy idiot",1,"මූ,පිස්සා,crazy,idiot"
"ගොඩක් ස්තූතියි thank you",0,""
"හුත්ත පලයන් f*ck off",1,"හුත්ත,පලයන්"
"සුභ උදෑසනක් good morning",0,""
"කරුමේ damn මේකා",1,"කරුමේ,damn"
"ඔබට ජීවිතේ සාර්ථක වේවා",0,""
"මෝඩ කෙල්ල dumb girl",1,"මෝඩ,dumb"
"ලස්සන දවසක් nice day",0,""
"ගොන් හරක් stupid cow",1,"ගොන්,හරක්,stupid,cow"
"ආදරෙයි love you",0,""
"හුකන්න go to hell",1,"හුකන්න"
"සතුටු ජන්මදිනයක් happy birthday",0,""
"පිස්සුද ඔයාට are you crazy",1,"පිස්සුද,crazy"
"ගොඩක් පින් merit lots",0,""
"මන්දපට්ට foolish person",1,"මන්දපට්ට,foolish"
"හරිම ගොඩක් ස්තූතියි",0,""
"වේසි bitch කෙල්ල",1,"වේසි,bitch"
"ගොඩක් හොඳයි very good",0,""
